city,r_name,username,text,address,star,src,time,friend_count,review_count,photo_count
Los Angeles,Bottega Louie,Dougie J.,"I'll keep this short and sweet.  If you spend your money to dine here, you are the worst type of dilettante, and you simply know zero about what a proper restaurant experience should be.  Successful for the same reason that the Fridays chain is.","Central LA, Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/OIxzSm47O7IifI1uspPgjg/60s.jpg,8/14/2018,0,18,
Los Angeles,Bottega Louie,Dougie J.,"I'll keep this short and sweet.  If you spend your money to dine here, you are the worst type of dilettante, and you simply know zero about what a proper restaurant experience should be.  Successful for the same reason that the Fridays chain is.","Central LA, Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/lyhkdBzg-Mc53wUEmD0kOA/60s.jpg,8/14/2018,0,18,
Los Angeles,Bottega Louie,Dougie J.,"I'll keep this short and sweet.  If you spend your money to dine here, you are the worst type of dilettante, and you simply know zero about what a proper restaurant experience should be.  Successful for the same reason that the Fridays chain is.","Central LA, Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/5rWqyg9KI5w7XQbTw6s1EQ/60s.jpg,8/14/2018,0,18,
Los Angeles,Bottega Louie,Dougie J.,"I'll keep this short and sweet.  If you spend your money to dine here, you are the worst type of dilettante, and you simply know zero about what a proper restaurant experience should be.  Successful for the same reason that the Fridays chain is.","Central LA, Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/ZPvQdnHtxFeYRBhyImxW_g/60s.jpg,8/13/2018,0,18,
Los Angeles,Bottega Louie,D B.,"I had a terrible experience at the restaurant. They should be ashamed of the quality of the service and the food. I asked for a steak without sauce or butter as I have a dairy allergy. The food came, and alas, it was covered with butter. They made a new one, but by the time it came, my friends were pretty much done eating. AND, the steak was terrible. Overcooked, almost burnt to a crisp. It's far too expensive, and nights out with good friends are far to rare, for this sort of thing to happen. Shame on you Bottega Louie. I had to stop at Ralph's on the way home and get myself something to eat. Looking for a dinner night out? Look elsewhere.","Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,6/21/2018,0,1,
Los Angeles,Bottega Louie,Sunny K.,Please don't ignore other review sites that why they are giving low ratings. It is a such a Farmers Markets in white elegant restaurant. Very very noisy. You will have an experience to see just opening and closing mouth without sound like a goldfish when your party talk.   awful and terrible.,"San Francisco, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,1/7/2018,0,1,
Los Angeles,Bottega Louie,Jame B.,"yes, the food is good and the service given by mostly white hipster/model ish looking  waiters is ok but the reason I never go there even though I can just walk over on any given day is its terrible design.  make no mistake, this place doesn't need your business since it's always packed but that fact combined with the lack of sound absorption makes having a normal conversation a painful task. You will feel as if you are inside the latest nightclub since everybody is yelling, except the music is not loud enough and you will hear everybody else's convos. on top of that the greedy owners have put the tiny tables right next to each other and the concept of personal space is unknown to them. - James","Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,2/18/2017,0,1,
Los Angeles,Bottega Louie,Serena W.,"I decided to have fun new year eve in here. It was really rude receptionist blonde woman because of her I felt so bad in today. I'm very disappointed. Please teach and train your workers how to become very friendly. I will never go this place again. Such a horrible memory! I should have go to another place. Even, the light was so dark and felt so down.","Hancock Park, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/73HjDb9Awsb99ia5mY9ktA/60s.jpg,1/1/2017,0,4,4
Los Angeles,Bottega Louie,Cesar R.,"over prices sweet nasty things, not a fan 1st and last time i eat them. sorry.","Oxnard, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/1sRwgMM1xE0lmHrTbuxLUg/60s.jpg,11/30/2016,0,4,
Los Angeles,Bottega Louie,Xiaorui Y.,The food was very sucks,"Rancho Cucamonga, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/qMIf0L0QytbfOnkp-e5HiA/60s.jpg,9/19/2016,0,16,
Los Angeles,Bottega Louie,Evelyn M.,I went with my son to buy him a macaroon and the service was horrible!!!!! There was literally at least 5 people behind the register just talking with each other and not doing anything. I waited for about 5 mins before someone even asked if i needed help!!!! The restaurant itself is great. But the bakery section in the front ruined my experience !,"Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,8/29/2016,1,3,
Los Angeles,Bottega Louie,Malcolm S.,Great if you like macaroons. I do not. I wouldn't recommend this place to my dog. Also the place has a funky smell. sorry but not for me.,"Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/a3G-Z11wlwH3mgUvulZPfQ/60s.jpg,7/21/2016,0,8,
Los Angeles,Bottega Louie,Supriya S.,Arrogant AND clueless bartender! Finished our drinks and went across the street to Seven Grand. So glad we left.,"Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,7/19/2016,0,1,
Los Angeles,Bottega Louie,Kamsack J.,"Bland.  Boring. Bazar. Our server was cool, he was like the Bob Ross of waiters and was a poet with his words. Our Mac n cheese was the only thing with any flavor, pizza was not that great at all and the fried calamari tasted like styrofoam. On the pastry side of the awkward establishment they weren't very friendly and they were just talking to other coworkers not really helping anyone, there was even an employee in an evening gown standing behind the princes cakes violently playing candy crush or texting who knows... This place is so loud and so dark, I heard the hostess recommend using an I-phone flashlight! Had it not been one of the few nearby places in dtla open on a Sunday passed 8pm I'd have never of stepped in, now that I did I wish I wouldn't of...Not worth what you pay for. .........update the earl grey macaroon was delightful, however still not worth it.","Paso Robles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/e-ew_P3qTi2v41-OsUx_Xw/60s.jpg,6/23/2016,2,12,7
Los Angeles,Bottega Louie,mitchell k.,"Looks good, tastes zero","Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,5/15/2016,0,20,
Los Angeles,Bottega Louie,Ben M.,"would not recommend, horrible customer service","Torrance, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/kHNO01kVuK_esgFMsA3ong/60s.jpg,5/8/2016,0,2,
Los Angeles,Bottega Louie,Armando V.,sebe super rico tendria k ir a visitar el lugar para disfrutar la exquisites,"Compton, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/2nqnnZww8Svyz00g5DoRUg/60s.jpg,4/27/2016,1,1,
Los Angeles,Bottega Louie,Ted C.,"Overpriced! I originally had a high expectation of this place. The first thing I notice is the noise level of this place. Because of the high ceiling, during lunch time, you can barely have a nice conversation with other on the same table. The service was horrible as well. We waited for so long to be seated. Worst of all the food is super overpriced.","Manassas, VA",1.0,https://s3-media0.fl.yelpcdn.com/photo/x1oBJwkaFUAAdEXBfZAiiA/60s.jpg,4/11/2016,2,7,
Los Angeles,Bottega Louie,Michael A.,"Reached the place around 6:15 p.m.  We were told that the wait time was 30-45 minutes.  Could not find standing room anywhere.  Tried to order 4 cocktails.  There was no line and could not make out where to order.  Finally found someone who took our orders.  When it was brought to us, someone in the crowd accidentally brushed us and half of one of the cocktails spilled.  It is good that the waitress stood by the spill till it was cleaned (no offer to refill the cocktail even though it was spilled as she was handing it over to us).  Got seated for the dinner.  A small roll of bread, was thrown on to the paper on the dinner table (why not use a plate even though the paper is changed after each sitting).  The roll was so hard, like a piece of hardened plastic; not much taste.  The dinner portions and the dessert were so little, that I was still very hungry.  I ordered hanger steak verdura with a black truffle demi-glace.  The glace indeed had a very fine taste, I did not much appreciate the big salt crystals (kosher salt or sea-salt?) on the steak.  Even though it stated that it comes with farmers market vegetables, it practically had no vegetables (it had a few pieces of tiny mushrooms and a few tiny baby carrots).  I tasted all four dishes we ordered.  Except for the crowded atmosphere, nothing attractive or too tasty.","La Verne, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,3/6/2016,0,8,
Los Angeles,Bottega Louie,Jose V.,Its good don't mind the drive the all the way over here.,"Montebello, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/wFTUW9pO4ZyigMx9wql9Vw/60s.jpg,1/11/2016,1,6,4
Los Angeles,Bottega Louie,Jay W.,place sucks,"Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/fKwDZSsSeZCUg16qLFdciw/60s.jpg,12/15/2015,1,3,
Los Angeles,Bottega Louie,Dennis E.,"seen a lot of thing I like, want to shop here","Miami, FL",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,12/9/2015,8,1,
Los Angeles,Bottega Louie,Shaina D.,Not a fan.,"Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,11/27/2015,0,3,
Los Angeles,Bottega Louie,Melissa R.,"Definitely not my favorite place ... went a few times, and it was ALWAYS WAY TOO LOUD, and the food has always been so-so. Could never figure out why everyone seems to love this place? Oh well ... I must be not so cool :)","Houston, TX",1.0,https://s3-media0.fl.yelpcdn.com/photo/5ib9_ahyiKXF8aLk5UJx-A/60s.jpg,11/23/2015,1195,9,5
Los Angeles,Bottega Louie,Ilia C.,Loud with unmemorable food.,"Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,10/1/2015,0,9,
Los Angeles,Bottega Louie,Jack B.,"they have 6 licensed salespeople.  these are the only people you should be signing contracts with, sign with anyone else,  if a valid dispute arises you loose leverage, thomas martin spear   (ceo)   license #  00633357 joshua alan fein            (cfo)   license #  01049877suzy k hill                                     license #  01905469paul bryan kaplan                      license #  01482090mehrdad oliver koupai             license #  00876661patrick john lacey       (coo)   license #  01155413lance richard mcgoldrick     license  # 01134105corporate licensing information: board of real estate.01846235 - officer expiration date: 06/25/16  pma residental inc.01195969 - officer expiration date: 05/17/19  property management associates incone of the main reasons more real estate licenses are not suspended or revoked is that they use office personnel, onsite managers (who are rarely licensed) do the front work, only have a licensed professional real estate person sign the rental agreement/lease, because if the deal goes south, you can always file a complaint with the calif dept. of consumer affairs, bureau of real estate complaint intake unit - statewide #(877) 373-4542 or go to their website .","North Hollywood, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,9/30/2015,0,4,
Los Angeles,Bottega Louie,Ron A.,"Harkins theatre, Chino","Chino, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,9/28/2015,0,8,
Los Angeles,Bottega Louie,Dee M.,"Do not kill Karma, let the pup live out his life in a wolf mountain sanctuary. The pup looks far from vicious to me.","Columbia, SC",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,9/26/2015,0,1,
Los Angeles,Bottega Louie,John C.,"DISCOUNT TILE CENTER INC. 8627 VENICE BLVD. L.A. CA 90034NO PARKING, BAD CUSTOMER SERVICES, 20% for any items that you return back. If you are looking for a professional and a business with quality and trustworthiness please do not waste your time and effort in buying from DISCOUNT TILE CENTER.","Venice, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,9/18/2015,0,3,
Los Angeles,Bottega Louie,Pat P.,The loudest restaurant on the planet.,"Vail, CO",1.0,https://s3-media0.fl.yelpcdn.com/photo/vvEXeOHncfyJcOo0RVGkLA/60s.jpg,8/1/2015,0,16,
Los Angeles,Bottega Louie,E T.,nt good....,"Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/9ZNT6RjHOVl0pjmud3cqDQ/60s.jpg,7/24/2015,0,2,
Los Angeles,Bottega Louie,Jenny L.,eh,"Leimert Park, Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/XTHabodv3xG-bcS53BNA5A/60s.jpg,7/21/2015,3,10,
Los Angeles,Bottega Louie,Marianne V.,too loud !!!!,"Studio City, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,7/1/2015,0,4,
Los Angeles,Bottega Louie,Saeed P.,I HATE this kind of Advertisement. STOP spamming.,"Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/ltu5GJhZJr9UnCajKxhsFg/60s.jpg,6/23/2015,1,7,
Los Angeles,Bottega Louie,Joben G.,horrible,"Vancouver, Canada",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,6/23/2015,0,2,
Los Angeles,Bottega Louie,Shery A.,"It is a pitty such a restaurant has a very bad managements, I go with my kids there for dinner ,not many people where in there, but took them 45 minutes to bring us our order,and when I complained about it ,they start appologizing about it. So make sure don't go there if you are in rush.","Beverly Hills, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,6/13/2015,0,2,
Los Angeles,Bottega Louie,Ahmad S.,Terrible experience today at lunch. A lemonade berry drink that doesn't taste like any of them. A lobster soup just like a colored brown water. A Cciopone sweet Argentine shrimp that is too far from sweet.My partner dishes aren't that good either. The manager came to ask why I didn't eat I told him it doesn't taste any good and did not meet my expectations and he removed them from the bill.,"Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/O7mLxL1l-4-20LzWiyjQvg/60s.jpg,6/3/2015,0,2,1
Los Angeles,Bottega Louie,Rino D.,R,"Burbank, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,5/5/2015,0,7,1
Los Angeles,Bottega Louie,Joe T.,not soooooo good,"Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,4/15/2015,0,5,
Los Angeles,Bottega Louie,Kandu P.,"worest place to go , garage sales , yard sale is more better","Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,4/14/2015,0,3,
Los Angeles,Bottega Louie,Gem R.,"Great food, but I can't eat here. It's too loud. And that's too bad.","Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/8KiAqRiFL0uKHSLMHJBu3Q/60s.jpg,4/10/2015,68,16,1
Los Angeles,Bottega Louie,Katrina S.,Look good 3 stars,"Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/t19-EzV_Ivg4jxj6vbWEDw/60s.jpg,3/27/2015,0,1,2
Los Angeles,Bottega Louie,Wynter M.,Not my fave.,"Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/73RRlo4xOItp9VBAVOQ_4A/60s.jpg,3/21/2015,15,20,2
Los Angeles,Bottega Louie,Lidia M.,"Alliance Insurance Co. Really deficiente customer service. Took me 5 calls a day every day to have an adjustor call me back. I was rear ended by one of their insured. I missed time from work. Endless time on the phone. My day is up side down. I have to borrow a car so I can move around. and they won't compensate none of my unasked time and suffer I went thru because of the accident. After ten days, I talked to an adjustor and they didn't even have a phone number for their insured.VERY BAD COMPANY, IF YOU CAN DO NOT GETT IT.","Los Angeles, CA",1.0,https://s3-media0.fl.yelpcdn.com/photo/n011IKNJoE1NByqBNIhllA/60s.jpg,3/4/2015,4,5,2
